Date,Open,High,Low,Close,Volume
19-May-16,13.1,13.2,13.02,13.09,23733238
18-May-16,13.12,13.34,13.05,13.16,23479362
17-May-16,13.14,13.31,13.07,13.14,34091175
16-May-16,13.22,13.38,13.21,13.32,21212354
13-May-16,13.34,13.52,13.17,13.22,27398304
12-May-16,13.4,13.47,13.17,13.35,24781444
11-May-16,13.44,13.54,13.3,13.32,20113597
10-May-16,13.38,13.52,13.38,13.49,23499581
9-May-16,13.42,13.5,13.28,13.32,21530380
6-May-16,13.26,13.48,13.24,13.44,23259797
5-May-16,13.35,13.43,13.22,13.32,23784908
4-May-16,13.29,13.38,13.14,13.31,28856966
3-May-16,13.5,13.55,13.15,13.43,45460077
2-May-16,13.67,13.79,13.6,13.62,57834795
29-Apr-16,13.93,14.03,13.53,13.56,69251740
28-Apr-16,13.79,14.22,13.71,14.09,87525720
27-Apr-16,13.64,13.71,13.59,13.66,27102169
26-Apr-16,13.66,13.82,13.63,13.75,35100624
25-Apr-16,13.59,13.65,13.47,13.58,19469317
22-Apr-16,13.63,13.78,13.51,13.61,28834418
21-Apr-16,13.81,13.88,13.56,13.65,38048649
20-Apr-16,13.42,13.72,13.4,13.64,32147342
19-Apr-16,13.35,13.5,13.28,13.44,28793398
18-Apr-16,12.98,13.28,12.95,13.25,30105551
15-Apr-16,13.1,13.12,12.85,12.94,22532984
14-Apr-16,13.09,13.18,13.02,13.09,22422565
13-Apr-16,12.87,13.12,12.85,13.06,29324137
12-Apr-16,12.72,12.84,12.66,12.81,23386607
11-Apr-16,12.61,12.8,12.58,12.66,27653958
8-Apr-16,12.62,12.78,12.51,12.55,20003807
7-Apr-16,12.77,12.79,12.39,12.52,37373470
6-Apr-16,12.75,12.87,12.65,12.82,22586290
5-Apr-16,12.73,12.85,12.52,12.77,32265978
4-Apr-16,13.11,13.12,12.76,12.8,42322760
1-Apr-16,13.28,13.33,13.05,13.1,57856805
31-Mar-16,13.34,13.52,13.34,13.5,32919961
30-Mar-16,13.28,13.44,13.24,13.35,25278172
29-Mar-16,13.05,13.2,12.97,13.2,26055638
28-Mar-16,13.13,13.17,13.07,13.09,18651168
24-Mar-16,13.11,13.12,12.78,13.06,36191380
23-Mar-16,13.57,13.6,13.19,13.26,31478751
22-Mar-16,13.65,13.73,13.51,13.59,26012155
21-Mar-16,13.64,13.76,13.56,13.66,20825351
